"1949","Canada","2016A000011124","Private transportation","2002=100","13.3",
"1950","Canada","2016A000011124","Private transportation","2002=100","13.7",
"1951","Canada","2016A000011124","Private transportation","2002=100","14.6",
"1952","Canada","2016A000011124","Private transportation","2002=100","15.5",
"1953","Canada","2016A000011124","Private transportation","2002=100","15.3",
"1954","Canada","2016A000011124","Private transportation","2002=100","15.4",
"1955","Canada","2016A000011124","Private transportation","2002=100","15.3",
"1956","Canada","2016A000011124","Private transportation","2002=100","14.7",
"1957","Canada","2016A000011124","Private transportation","2002=100","15.6",
"1958","Canada","2016A000011124","Private transportation","2002=100","16.2",
"1959","Canada","2016A000011124","Private transportation","2002=100","16.6",
"1960","Canada","2016A000011124","Private transportation","2002=100","16.6",
"1961","Canada","2016A000011124","Private transportation","2002=100","16.5",
"1962","Canada","2016A000011124","Private transportation","2002=100","16.4",
"1963","Canada","2016A000011124","Private transportation","2002=100","16.2",
"1964","Canada","2016A000011124","Private transportation","2002=100","16.2",
"1965","Canada","2016A000011124","Private transportation","2002=100","17.0",
"1966","Canada","2016A000011124","Private transportation","2002=100","17.2",
"1967","Canada","2016A000011124","Private transportation","2002=100","17.5",
"1968","Canada","2016A000011124","Private transportation","2002=100","18.0",
"1969","Canada","2016A000011124","Private transportation","2002=100","18.3",
"1970","Canada","2016A000011124","Private transportation","2002=100","19.0",
"1971","Canada","2016A000011124","Private transportation","2002=100","19.5",
"1972","Canada","2016A000011124","Private transportation","2002=100","20.4",
"1973","Canada","2016A000011124","Private transportation","2002=100","20.7",
"1974","Canada","2016A000011124","Private transportation","2002=100","22.4",
"1975","Canada","2016A000011124","Private transportation","2002=100","24.7",
"1976","Canada","2016A000011124","Private transportation","2002=100","28.0",
"1977","Canada","2016A000011124","Private transportation","2002=100","30.3",
"1978","Canada","2016A000011124","Private transportation","2002=100","31.7",
"1979","Canada","2016A000011124","Private transportation","2002=100","34.3",
"1980","Canada","2016A000011124","Private transportation","2002=100","38.5",
"1981","Canada","2016A000011124","Private transportation","2002=100","44.6",
"1982","Canada","2016A000011124","Private transportation","2002=100","52.1",
"1983","Canada","2016A000011124","Private transportation","2002=100","55.6",
"1984","Canada","2016A000011124","Private transportation","2002=100","59.0",
"1985","Canada","2016A000011124","Private transportation","2002=100","61.2",
"1986","Canada","2016A000011124","Private transportation","2002=100","63.9",
"1987","Canada","2016A000011124","Private transportation","2002=100","63.6",
"1988","Canada","2016A000011124","Private transportation","2002=100","66.6",
"1989","Canada","2016A000011124","Private transportation","2002=100","68.3",
"1990","Canada","2016A000011124","Private transportation","2002=100","72.7",
"1991","Canada","2016A000011124","Private transportation","2002=100","76.8",
"1992","Canada","2016A000011124","Private transportation","2002=100","75.1",
"1993","Canada","2016A000011124","Private transportation","2002=100","77.8",
"1994","Canada","2016A000011124","Private transportation","2002=100","79.4",
"1995","Canada","2016A000011124","Private transportation","2002=100","84.3",
"1996","Canada","2016A000011124","Private transportation","2002=100","87.5",
"1997","Canada","2016A000011124","Private transportation","2002=100","91.5",
"1998","Canada","2016A000011124","Private transportation","2002=100","91.0",
"1999","Canada","2016A000011124","Private transportation","2002=100","89.9",
"2000","Canada","2016A000011124","Private transportation","2002=100","95.3",
"2001","Canada","2016A000011124","Private transportation","2002=100","98.1",
"2002","Canada","2016A000011124","Private transportation","2002=100","94.4",
"2003","Canada","2016A000011124","Private transportation","2002=100","106.0",
"2004","Canada","2016A000011124","Private transportation","2002=100","106.2",
"2005","Canada","2016A000011124","Private transportation","2002=100","109.1",
"2006","Canada","2016A000011124","Private transportation","2002=100","115.2",
"2007","Canada","2016A000011124","Private transportation","2002=100","113.4",
"2008","Canada","2016A000011124","Private transportation","2002=100","117.9",
"2009","Canada","2016A000011124","Private transportation","2002=100","107.6",
"2010","Canada","2016A000011124","Private transportation","2002=100","116.9",
"2011","Canada","2016A000011124","Private transportation","2002=100","122.7",
"2012","Canada","2016A000011124","Private transportation","2002=100","127.1",
"2013","Canada","2016A000011124","Private transportation","2002=100","126.3",
"2014","Canada","2016A000011124","Private transportation","2002=100","128.8",
"2015","Canada","2016A000011124","Private transportation","2002=100","120.9",
"2016","Canada","2016A000011124","Private transportation","2002=100","123.6",
"2017","Canada","2016A000011124","Private transportation","2002=100","131.8",
"2018","Canada","2016A000011124","Private transportation","2002=100","135.2",
"2019","Canada","2016A000011124","Private transportation","2002=100","133.8",
